id,website_id,competitor_domain,competitor_name,is_active,analysis_frequency,last_analyzed_at,created_at,updated_at,analysis_status,analysis_started_at,analysis_completed_at,analysis_progress,last_error_message
7ead2226-d5df-47a4-bbc8-533dbfb2fc0f,a35e3d1e-07a4-4eb0-be65-a2caccf3f43d,https://trello.com,Trello,true,weekly,2025-08-18 15:02:16.366+00,2025-08-18 13:43:31.984678+00,2025-08-18 15:18:43.997622+00,completed,,,0,
8b836b11-ea13-43d3-9683-127cad061310,c5f13938-4141-49c4-9763-3a9053813ae7,https://www.apple.com/,Apple,true,weekly,2025-08-12 15:44:17.606+00,2025-08-12 15:44:14.607544+00,2025-08-12 16:12:12.942444+00,completed,,,0,
a0f3faa2-178f-4e1d-9732-2584f78ddd68,2c1395d1-f0e9-4987-8d7d-669cb649197f,https://www.target.com/,Target,true,weekly,2025-09-03 02:51:32.597+00,2025-09-03 02:51:27.858547+00,2025-09-03 02:52:43.536606+00,completed,2025-09-03 02:51:32.461+00,2025-09-03 02:52:43.44+00,0,
a93cd4d9-9360-417b-9911-750b99591644,dc8a0148-cbd2-4f6e-93a2-3aee1e755161,https://www.webull.com/,Webull,true,weekly,2025-09-02 08:53:47.589+00,2025-09-02 08:53:44.0914+00,2025-09-02 08:54:53.85004+00,completed,2025-09-02 08:53:47.478+00,2025-09-02 08:54:53.806+00,0,
a9ad89e7-93d9-4047-b6e0-daba1196ae6c,637dddf1-20dd-4d1c-841b-a500649ff027,https://www.qatarairways.com,Qatar Airways,true,weekly,2025-09-05 13:17:55.565+00,2025-09-05 13:17:51.407147+00,2025-09-05 13:19:11.980396+00,completed,2025-09-05 13:17:55.317+00,2025-09-05 13:19:11.939+00,0,
ab650281-3236-45ec-b93c-20d561b51090,5b9e43dc-f599-44ee-91b2-17464ad115d3,https://meet.google.com,Google Meet,true,weekly,2025-08-15 09:43:20.31+00,2025-08-15 09:43:17.608542+00,2025-08-15 09:54:12.730225+00,completed,,,0,
b0daaf4b-d42c-444a-9414-79ba5e6902db,3a1242fb-2173-4872-ad8a-6857b504eeb0,https://www.pedalme.co.uk,Pedal Me,true,weekly,2025-09-05 10:26:05.726+00,2025-09-05 10:26:03.857378+00,2025-09-05 10:31:40.878856+00,completed,2025-09-05 10:26:05.649+00,2025-09-05 10:31:40.839+00,0,
cf537613-fbef-4164-9df1-bb00f32ff0c2,65b5aadd-1687-48d4-9e18-5029ba1a2b1f,https://www.tinder.com,Tinder,true,weekly,2025-08-26 05:09:39.216+00,2025-08-26 05:09:35.4493+00,2025-08-26 06:11:10.64867+00,completed,2025-08-26 05:09:38.944+00,2025-08-26 06:11:10.6+00,0,
d2f18d9c-1209-42bc-bd1c-e71c7741618e,3a1242fb-2173-4872-ad8a-6857b504eeb0,https://hived.space,Hived,true,weekly,2025-09-05 10:26:18.331+00,2025-09-05 10:26:16.476341+00,2025-09-05 10:31:25.66761+00,completed,2025-09-05 10:26:18.269+00,2025-09-05 10:31:25.62+00,0,
e73eb8d4-70c8-4f0b-ac8d-ed2709223ee8,4e3125a5-4a1c-4a92-b308-250e2fca19f8,https://www.foodpanda.com,Food Panda,true,weekly,2025-09-05 08:52:57.471+00,2025-09-05 08:52:54.454616+00,2025-09-05 08:54:18.223841+00,completed,2025-09-05 08:52:57.293+00,2025-09-05 08:54:18.172+00,0,
